date,sp500_open,sp500_high,sp500_low,sp500_close,sp500_volume,vix_open,vix_high,vix_low,vix_close,vix_adj_close
2017-02-03,533.45,540.25,532.28,538.04,29.389999,29.950001,28.049999,28.110001,000,28.110001
2017-02-02,530.33,534.28,527.13,533.45,30.65,32.790001,29.23,29.389999,000,29.389999
2017-02-01,534.34,538.21,527.33,530.33,31.58,32.490002,28.90,30.65,000,30.65
2017-01-31,534.86,536.09,529.13,534.34,30.940001,31.559999,29.98,31.33,000,31.33
2017-01-30,544.42,544.42,531.39,534.86,29.780001,31.84,29.780001,30.940001,000,30.940001
2017-01-27,549.61,549.61,542.73,544.42,29.59,31.379999,29.059999,29.780001,000,29.780001
2017-01-26,549.68,551.97,548.76,549.61,30.59,30.59,29.219999,29.59,000,29.59
2017-01-25,546.61,551.53,546.61,549.68,35.990002,35.990002,30.110001,30.41,000,30.41
2017-01-24,541.29,549.14,541.29,546.61,30.790001,30.790001,29.209999,29.59,000,29.59
2017-01-23,547.41,547.41,539.08,541.29,29.190001,32.310001,29.190001,30.790001,000,30.790001
2017-01-20,544.55,550.11,544.55,547.41,30.879999,30.879999,29.190001,29.190001,000,29.190001
2017-01-19,548.53,548.53,543.62,544.55,31.440001,32.23,30.879999,30.879999,000,30.879999
2017-01-18,550.39,550.39,546.67,548.53,31.25,32.259998,30.719999,31.24,000,31.24
2017-01-17,546.96,551.62,546.96,550.39,30.33,31.379999,29.469999,31.25,000,31.25
2017-01-13,548.0,548.77,545.58,546.96,32.419998,33.290001,30.35,30.73,000,30.73
2017-01-12,550.65,552.96,546.02,548.0,41.82,42.41,32.139999,32.369999,000,32.369999
2017-01-11,544.11,551.34,544.01,550.65,33.610001,35.52,32.740002,32.950001,000,32.950001
2017-01-10,549.33,550.38,544.01,544.11,33.73,34.330002,32.610001,33.610001,000,33.610001
2017-01-09,557.57,557.57,548.77,549.33,31.99,33.919998,31.73,33.73,000,33.73
2017-01-06,557.48,559.05,553.89,557.57,31.629999,32.860001,30.32,30.469999,000,30.469999
2017-01-05,559.3,561.77,554.92,557.48,32.360001,32.669998,31.01,31.559999,000,31.559999
2017-01-04,560.9,561.94,557.67,559.3,34.16,34.16,31.93,32.360001,000,32.360001
2017-01-03,554.5,564.8,554.5,560.9,33.09,33.98,30.15,32.880001,000,32.880001
2016-12-30,556.03,558.62,553.12,554.5,34.279999,38.540001,30.00,30.83,000,30.83
2016-12-29,557.38,558.09,554.59,556.03,30.469999,30.83,29.440001,30.01,000,30.01
2016-12-28,562.88,563.96,556.91,557.38,30.00,30.290001,29.610001,29.91,000,29.91
2016-12-27,561.56,564.8,561.56,562.88,29.90,31.34,29.50,30.00,000,30.00
2016-12-23,562.68,562.68,560.53,561.56,30.870001,30.98,29.200001,29.90,000,29.90
2016-12-22,560.15,563.68,559.24,562.68,28.389999,39.610001,28.389999,30.290001,000,30.290001
2016-12-21,559.24,562.72,558.82,560.15,29.040001,33.389999,28.15,28.389999,000,28.389999
2016-12-20,560.42,563.82,558.04,559.24,30.16,30.530001,27.33,27.43,000,27.43
2016-12-19,563.18,563.72,559.36,560.42,31.610001,31.76,28.32,29.23,000,29.23
2016-12-16,560.03,563.7,560.03,563.18,34.540001,34.540001,28.99,29.18,000,29.18
2016-12-15,557.75,561.54,552.85,560.03,33.099998,34.759998,32.43,33.580002,000,33.580002
2016-12-14,569.85,569.85,556.61,557.75,31.35,36.700001,29.549999,33.970001,000,33.970001
2016-12-13,562.73,573.7,562.31,569.85,31.299999,33.25,30.43,31.35,000,31.35
2016-12-12,558.71,572.49,558.71,562.73,35.209999,35.209999,28.940001,30.299999,000,30.299999
2016-12-09,556.42,559.08,555.43,558.71,34.34,35.41,33.490002,35.209999,000,35.209999
2016-12-08,553.78,557.33,550.95,556.42,35.790001,36.240002,34.900002,35.029999,000,35.029999
2016-12-07,550.11,553.93,548.46,553.78,37.110001,37.790001,35.32,36.049999,000,36.049999
2016-12-06,550.67,551.77,544.05,550.11,37.00,43.560001,36.220001,37.110001,000,37.110001
2016-12-05,546.74,555.1,546.74,550.67,35.509998,37.560001,35.509998,37.00,000,37.00
2016-12-02,546.15,549.64,543.53,546.74,40.450001,40.450001,35.18,35.509998,000,35.509998
2016-12-01,544.67,555.92,544.67,546.15,42.470001,42.549999,39.509998,40.450001,000,40.450001
2016-11-30,519.64,549.42,519.64,544.67,55.09,55.09,42.130001,44.25,000,44.25
2016-11-29,525.71,525.71,514.43,519.64,55.099998,55.700001,53.869999,55.09,000,55.09
2016-11-28,532.69,534.81,525.04,525.71,53.459999,53.889999,51.099998,52.560001,000,52.560001
2016-11-25,534.79,534.79,529.7,532.69,47.540001,53.709999,47.540001,53.459999,000,53.459999
2016-11-23,532.41,536.19,529.89,534.79,47.150002,47.84,46.73,47.540001,000,47.540001
2016-11-22,532.48,535.49,526.22,532.41,48.400002,48.580002,45.830002,46.689999,000,46.689999
2016-11-21,521.02,533.42,521.02,532.48,46.450001,47.369999,45.610001,45.709999,000,45.709999
2016-11-18,518.63,523.49,517.95,521.02,47.48,47.970001,46.43,46.560001,000,46.560001
2016-11-17,522.16,529.35,517.38,518.63,50.09,50.23,47.349998,47.369999,000,47.369999
2016-11-16,526.77,527.81,520.8,522.16,49.43,53.82,48.50,50.09,000,50.09
2016-11-15,513.0,526.97,513.0,526.77,50.279999,50.939999,47.450001,49.43,000,49.43
2016-11-14,511.21,513.27,506.08,513.0,45.310001,50.919998,45.310001,50.169998,000,50.169998
2016-11-11,519.83,519.83,507.41,511.21,42.439999,45.889999,42.439999,45.310001,000,45.310001
2016-11-10,518.23,524.06,516.32,519.83,43.470001,43.810001,40.860001,42.439999,000,42.439999
2016-11-09,510.49,521.66,506.97,518.23,43.560001,43.560001,40.959999,41.25,000,41.25
2016-11-08,510.58,513.31,506.69,510.49,44.150002,44.720001,43.150002,43.560001,000,43.560001
2016-11-07,499.68,510.67,499.68,510.58,43.689999,45.360001,43.299999,44.200001,000,44.200001
2016-11-04,502.11,504.02,496.83,499.68,43.990002,45.380001,43.509998,43.689999,000,43.689999
2016-11-03,500.26,503.29,498.03,502.11,40.860001,42.119999,39.889999,41.490002,000,41.490002
2016-11-02,505.37,505.37,494.68,500.26,40.080002,45.509998,40.080002,40.860001,000,40.860001
2016-11-01,504.89,510.02,499.98,505.37,40.52,41.00,39.59,40.080002,000,40.080002
2016-10-31,510.77,511.15,504.01,504.89,37.759998,41.900002,37.759998,40.959999,000,40.959999
2016-10-28,513.05,518.78,507.97,510.77,35.860001,38.009998,35.689999,37.759998,000,37.759998
2016-10-27,514.75,517.72,512.85,513.05,35.389999,36.369999,35.380001,35.860001,000,35.860001
2016-10-26,513.29,516.91,508.57,514.75,33.93,37.700001,33.18,35.389999,000,35.389999
2016-10-25,516.01,521.13,512.93,513.29,33.790001,34.439999,33.189999,33.93,000,33.93
2016-10-24,516.84,518.68,510.51,516.01,32.509998,34.59,32.509998,32.790001,000,32.790001
2016-10-21,520.41,520.41,513.54,516.84,34.189999,34.380001,32.369999,32.509998,000,32.509998
2016-10-20,520.89,522.2,515.22,520.41,32.720001,34.099998,32.419998,32.48,000,32.48
